"Grupo","Pieza","Cantidad","Largo(inch)","Ancho(inch)","Grosor(inch)","Material"
"","Cube256","2","16.08","2","2","Galvanized"
"","Cube256","12","10.43","2","2","Galvanized"
"","Cube256","2","47.8","2","2","Galvanized"
"","Cube256","2","71.11","2","2","Galvanized"
"","Cube260","18","5.54","2","2","Galvanized"
"","Cube260","2","10.9","2","2","Galvanized"
"","Cube260","2","63.68","2","2","Galvanized"
"","Cube260","2","3.65","2","2","Galvanized"
"","Cube288","2","27.44","2","2","Galvanized"
"","Cube288","10","25","2","2","Galvanized"
