"Grupo","Pieza","Cantidad","Largo(inch)","Ancho(inch)","Grosor(inch)","Material"
"","Stud","24","62.88","3.62","1.25","Aluminium"
"","Stud","8","52.07","3.62","1.25","Aluminium"
"","Stud","2","59.36","3.62","1.25","Aluminium"
"","Stud","4","57.34","3.62","1.25","Aluminium"
"","Stud","18","63.5","3.62","1.25","Aluminium"
"","Stud","2","62.12","3.62","1.25","Aluminium"
"","Stud","4","90.5","3.62","1.25","Aluminium"
"","Stud","2","60.24","3.62","1.25","Aluminium"
"","Stud","4","60.68","3.62","1.25","Aluminium"
"","Stud","18","59.5","3.62","1.25","Aluminium"
"","Stud","4","26.7","3.62","1.25","Aluminium"
"","Stud","4","53","3.62","1.25","Aluminium"
"","Stud","2","59.93","3.62","1.25","Aluminium"
"","Stud","4","92.4","3.62","1.25","Aluminium"
"","Stud","2","61.88","3.62","1.25","Aluminium"
"","Stud","8","52.27","3.62","1.25","Aluminium"
"","Stud","8","61.5","3.62","1.25","Aluminium"
"","Stud","2","90.78","3.62","1.25","Aluminium"
"","Stud","2","26.5","3.62","1.25","Aluminium"
"","Stud","2","59.77","3.62","1.25","Aluminium"
"","Stud","2","30.75","3.62","1.25","Aluminium"
"","Stud","6","29.75","3.62","1.25","Aluminium"
"","Stud","6","29.52","3.62","1.25","Aluminium"
"","Stud","10","14.55","3.63","1.25","Aluminium"
"","Track","2","63.16","3.62","1.25","Aluminium"
"","Track","4","94.4","3.62","1.25","Aluminium"
"","Track","6","92.5","3.62","1.25","Aluminium"
